category,sub_category,name,lat,lon,address,phone,operator,kakao_id,category_name,data_source
education,academy,인동자동차운전전문학원,36.0905035591136,128.452650078955,경북 구미시 인동가산로 384-26,054-475-7000,,8053056,"교육,학문 > 학원 > 자동차운전학원 > 자동차운전전문학원",kakao
education,academy,구미드론아카데미,36.09263175142464,128.45490093467782,경북 구미시 인동가산로 411,054-476-9727,,858181154,"교육,학문 > 학원",kakao
education,academy,홍익아트 구미지사,36.0905080828345,128.446018612634,경북 구미시 인동54길 32-38,054-471-7891,,1789109320,"교육,학문 > 학원 > 미술학원",kakao
education,academy,수학스토리,36.0919536836393,128.446898899503,경북 구미시 인동54길 9,,,1496499288,"교육,학문 > 학원 > 수학학원",kakao
education,academy,해법영어 예다음교습소,36.091983467979716,128.44689500442237,경북 구미시 인동54길 9,,,884720136,"교육,학문 > 학원 > 어학원 > 영어학원",kakao
education,academy,원탑영수학원,36.0920840076375,128.446852436522,경북 구미시 인동54길 9,010-9368-4986,,1786205429,"교육,학문 > 학원",kakao
education,academy,앵쌤교실,36.0908052356962,128.440126358047,경북 구미시 인동46길 28,,,1790704148,"교육,학문 > 학원",kakao
education,academy,음악사랑피아노,36.0910595730871,128.440183181137,경북 구미시 인동46길 24,054-472-2232,,1532095789,"교육,학문 > 학원 > 음악학원 > 피아노학원",kakao
education,academy,프라하음악학원,36.0923318664371,128.440341851772,경북 구미시 인동46길 10,054-472-3368,,15550134,"교육,학문 > 학원 > 음악학원",kakao
education,academy,비비드미술교습소,36.0923375255904,128.440320859703,경북 구미시 인동46길 10,,,1062059412,"교육,학문 > 학원 > 미술학원",kakao
education,academy,수토리영어교습소,36.0923375255617,128.440320859694,경북 구미시 인동46길 10,010-9804-2435,,193950090,"교육,학문 > 학원 > 어학원 > 영어학원",kakao
education,academy,신나는송피아노,36.0914384166583,128.435196102851,경북 구미시 인동36길 23-32,054-473-0076,,15523206,"교육,학문 > 학원 > 음악학원 > 피아노학원",kakao
education,academy,굿모닝미술,36.0914636428796,128.435196561567,경북 구미시 인동36길 23-32,,,17105677,"교육,학문 > 학원 > 미술학원",kakao
education,academy,해법영어구평교실,36.0914709035584,128.435192252515,경북 구미시 인동36길 23-32,054-475-8205,,15610029,"교육,학문 > 학원 > 어학원 > 영어학원",kakao
education,academy,삼성피아노,36.0918962385558,128.435493099783,경북 구미시 인동36길 23-33,,,9810138,"교육,학문 > 학원 > 음악학원 > 피아노학원",kakao
